,BFS_NUMMER,EINWOHNERZ,centroid
575,352,6053,3.953987861083129 30.552357639297067
576,6244,4412,3.964104896642242 30.543425378979673
577,4781,4490,3.8383106484162357 30.505758357611356
578,619,3506,4.0892020103412285 30.530772752173558
579,2480,998,4.042481124461301 30.522958960836945
580,5015,615,4.012911515687251 30.559176101393067
581,1213,5058,3.970830028413557 30.55368731681169
582,5401,9973,3.98337752589851 30.55706931784027
583,2424,540,3.9900930842104247 30.541573591273444
584,3423,2954,3.974273307851877 30.541616993403995
585,5486,1004,4.011292917903906 30.51647402618339
586,448,917,3.9744861152524464 30.532668111471615
587,2619,1259,3.926264585715773 30.53999211149236
588,53,18895,4.142644523536846 30.522352651145784
589,6433,257,3.9304548257774807 30.45666769813117
590,2291,2034,3.9499048351354458 30.54534943497817
591,1508,3081,3.9398473676501276 30.52723766539224
592,958,980,3.8455748060075754 30.67668185896068
593,3271,12187,3.9711399963734606 30.408964047754164
594,6621,194565,3.959364822149134 30.545767982220074
595,2308,2376,3.9693693340447314 30.54062369311513
596,4258,12897,3.964656674954833 30.5668074846623
597,5881,6105,3.965506403261444 30.551762198262633
598,5456,1462,3.974324348420504 30.551992085975137
599,2262,-32768,3.9588971922866474 30.543533328844358
600,5611,3333,3.964030652132963 30.540624744785212
601,2304,1294,3.960348410701072 30.54614712866962
602,1214,1816,3.9707576274876244 30.50909646612233
603,1009,2035,3.9733702467047363 30.51755246952868
604,3422,1515,3.954618536747008 30.520693887444743
605,2422,5923,3.9637394586294215 30.58824637511481
606,2888,992,3.9951705042226027 30.540078004317117
607,4611,1416,3.9173731938719643 30.55612950816394
608,404,15998,3.980246044023397 30.539137367556236
609,922,1167,4.0136113581072745 30.566006699308407
610,6434,317,3.9817839017633148 30.555694509616277
611,5678,5833,3.920528183324628 30.513671715859402
612,217,4146,3.92694157848959 30.55518423628697
613,4536,1794,4.011743268416377 30.548391152387087
614,4124,1558,4.019785527492884 30.549293811698288
615,4546,1629,3.9166397221703515 30.549600587753474
616,6102,251,3.969620145111108 30.549069731157125
617,4946,11039,3.980574006185329 30.536190335101974
618,909,1413,3.97568445389081 30.642028869722054
619,1040,7246,3.9821276909831695 30.54547317077182
620,2114,1295,3.940893027491196 30.534884796846907
621,405,2017,3.894113317418993 30.531771284527643
622,1503,1828,3.980213960569614 30.52899170296133
623,3024,6112,3.967664544190083 30.545593708257545
624,2971,2090,3.9798230035244493 30.564457980198092
625,572,2524,3.9710893011880577 30.543432345289176
626,2426,1711,3.9626601190550566 30.564438983840162
627,1143,4095,3.90220010795812 30.548927929153567
628,5405,1250,3.992158339014762 30.56354611225822
629,6134,871,3.9695968582896652 30.554881356913423
630,5888,5082,4.009713506018075 30.528025047746965
631,956,3162,3.9698551412196186 30.54863685332157
632,1707,10036,3.9584234347764693 30.55652515666488
633,304,1951,4.0162965878873935 30.54011248678386
634,9329,-32768,4.1824801262101055 30.5674176141894
635,923,1550,3.9568087824886176 30.557147187314065
636,6217,4500,3.9749015327792376 30.489631668536905
637,3708,51,3.983243186889148 30.54924371772754
638,223,5504,3.976569559131243 30.545490848692538
639,303,2948,3.975772926525718 30.546567331209594
640,6758,231,3.957331517552102 30.536504543770313
641,444,1917,3.9485091423866643 30.470704481821386
642,1507,5611,3.9881093422315823 30.543284722083428
643,3832,1016,3.9841766857126477 30.52963999227782
644,3831,573,3.8525361298839518 30.66457262829404
645,2102,2827,3.951367591008869 30.549151546058702
646,195,9738,3.61054429652125 30.720138219237906
647,6202,575,3.960359737224712 30.56291856271897
648,6191,631,3.970457349865383 30.558137464841643
649,306,14183,3.9828355737791488 30.54093192270368
650,713,3572,3.9783113775126866 30.541811265202465
651,6800,6798,4.028729348110095 30.52189774370988
652,309,1219,3.9706462013665687 30.55228356140963
653,9182,-32768,3.976331713649521 30.543851109800865
654,605,1358,3.9470074754636957 30.56339309625014
655,6155,917,3.9871954082653986 30.559221419929493
656,433,717,4.074376512163212 30.885354477030422
657,192,8336,3.957422493163936 30.54487639484057
658,96,17478,4.0638355181773695 30.49036434264734
659,4170,3330,3.9765893998095803 30.631175959928306
660,5071,196,6.028249632087475 45.83049368488118
661,6285,1382,3.9845756238140733 30.56310959019631
662,3721,3097,3.9667568950231855 30.532389214328646
663,1311,2213,3.9765527872428814 30.547764735883316
664,4881,1304,3.9877446937117504 30.547513473981912
665,886,2828,3.976837888386978 30.54689704098981
666,3638,830,3.968659366153377 30.523804297796726
667,6154,3833,3.9733023111226804 30.537119650830206
668,4711,2467,3.956997239551442 30.545353652921616
669,2295,3389,4.016280388124893 30.547090602130424
670,5571,760,3.9643954839904496 30.55141017708232
671,3408,12695,3.960081544778425 30.547594639667192
672,6294,544,3.976326556889338 30.554648822652265
673,6194,459,3.9688327275009834 30.53947773724181
674,6220,689,3.9870171816166575 30.552906600900826
675,178,4202,4.003399956193882 30.540481183220678
676,9295,-32768,4.0045317884029 30.569936583801695
677,770,971,3.9747123501799715 30.545644565949164
678,35,1990,4.0328488849695825 30.568518121158856
679,6410,1983,3.7255877184432253 30.745396120164667
680,593,5691,3.9405461801365322 30.595316247510446
681,3407,6265,3.9628997050985593 30.547897627808354
682,6204,1566,3.9654891632980727 30.560074707788683
683,3951,719,3.9703879916930056 30.551970204993594
684,9163,-32768,3.933699288825421 30.552264538193967
685,1107,4294,3.9728667683229175 30.555547761008956
686,435,546,3.95922216342325 30.5370970739768
687,1506,2103,3.9768241531280566 30.545997306397943
688,6052,427,3.9806782434130756 30.566941365894706
689,952,1080,3.994568780719664 30.537784940281053
690,5406,890,3.9661014183365793 30.572712116399696
691,199,18437,3.9843815852698348 30.534852150956553
692,1347,3224,3.9791502290552794 30.557504748809322
693,4616,1085,3.9619364163546162 30.541895549168355
694,3401,3941,3.9809821321740024 30.537430909173075
695,3393,1439,3.9687124654820787 30.537161892415167
696,1150,1999,3.9994411650778936 30.567205443224832
697,6240,3945,3.966109155517763 30.51938130347078
698,4313,2123,4.141954410927455 30.561548583846672
699,2579,4784,3.9355187923504857 30.579617665090698
700,706,605,3.965157274759435 30.554412728664744
701,1710,3606,3.966094423325261 30.55537141295633
702,4811,987,3.9593323588365146 30.54220605837187
703,3611,196,3.9337259954687207 30.5539024627753
704,4274,3808,3.971537022236524 30.539371119124972
705,594,2596,3.980353753619297 30.55271899537678
706,6748,530,3.958197193888392 30.495978965144765
707,6778,685,4.023385376376241 30.230459001795786
708,4,3467,3.946882538962413 30.553970940303106
709,6703,263,3.9484533023237787 30.563676564052546
710,191,26317,3.9725600624898942 30.526751282391608
711,5939,3101,3.761692197079697 30.45259019359397
712,1364,8659,3.986382063950717 30.547693528348102
713,6193,758,3.9746859086129724 30.563844023546796
714,2305,4055,4.080505784802261 30.518068655960242
715,432,494,3.956719595664821 30.519176592886208
716,4234,3422,3.9281677835908106 30.543032856315527
717,2963,1373,1.9631636873040192 30.19110559293263
718,6759,134,3.9523838138664797 30.542838074258313
719,5938,29406,3.9694160078342913 30.54736169900616
720,2309,5444,3.9812952736048355 30.624415795759266
721,1215,679,3.9462151226325735 30.509507245616973
722,449,828,3.960745491367917 30.52745192058527
723,6775,687,2.9922863561254847 30.318724758527928
724,1342,5097,3.970444142040158 30.54108619723487
725,3723,1371,3.969732865794375 30.553811114308658
726,2338,1157,3.968399549460147 30.557001186842406
727,6710,2524,3.95288106263544 30.524755155129604
728,939,15703,3.9821318123004756 30.5379396523119
729,5634,2582,4.079459677783365 30.507167330513724
730,6297,7498,4.026224481071094 30.53908310086623
731,1322,15981,3.9688314096174775 30.537421097724543
732,6283,304,3.977175720721798 30.628425039015365
733,9153,-32768,3.9576921331781407 30.540643053716096
734,888,1178,3.9535093094507636 30.548567674963966
735,614,1283,3.9741377229300268 30.536812577801278
736,1026,3594,3.972812525933118 30.543043922178153
737,1058,13813,3.965337809873633 30.565311180170283
738,2493,3888,3.8088291005737327 30.596091136722137
739,4841,1952,3.941382016254932 30.54834358686767
740,6131,875,3.974676028338013 30.55948548490722
741,37,1391,3.9421846759048558 30.570612567346608
742,231,5696,4.8344369584726605 30.51299685080815
743,4891,3282,3.9111481464886695 30.543173949836845
744,3731,2422,3.9609004082637695 30.533264201754942
745,5765,482,3.2963716281326683 30.07810642168688
746,6089,1751,3.976260506315281 30.56942846062174
747,173,3644,3.964676761222066 30.49732344554091
748,6504,479,3.983462450341839 30.62970187784729
749,612,5054,4.026596050002465 30.51981043605379
750,9,4473,4.065637413186159 30.53155399438554
751,180,3241,4.0070783275056066 30.71115988544453
752,6607,9813,3.9630481148109635 30.55094632068222
753,5421,1338,4.0270175014272835 30.518686625205376
754,4280,13210,3.951710102894381 30.540265790496825
755,2429,1129,3.9603231783193156 30.545125504380493
756,100,2160,4.004992186751475 30.535040058939956
757,5009,394,3.9871395908924336 30.54672823015143
758,2421,546,3.969147417543988 30.492926233898615
759,6116,616,3.9956072643401925 30.51995267330096
760,56,9114,3.926698765822102 30.53472413955325
761,441,854,3.9696631697566764 30.55091962831518
762,3375,1303,3.9708700914633863 30.52687962810255
763,383,3446,3.9996635583131406 30.545108746001016
764,4312,2651,4.302221278644907 30.536524762206568
765,3442,8139,3.9641153315905266 30.506352848661955
766,4021,18670,3.96208068479109 30.546051895869475
767,5719,1244,3.9690123128542463 30.441711786394286
768,2951,486,3.967942979112223 30.532903777699328
769,1128,2562,3.9717510293490816 30.55576433208855
770,4004,682,3.915235841473748 30.54239242340121
771,2788,1162,3.958605343583867 30.56123757274869
772,6750,667,3.9814615907746735 30.548673364670414
773,6456,954,3.968666322983921 30.549271297514263
774,4761,7551,3.97023377426359 30.53714480569701
775,154,13849,3.9387032051039292 30.554037360129655
776,4486,1919,3.9739898930077815 30.543507605220128
777,1041,1004,3.993941826466357 30.54343038880745
778,1207,1959,3.9653762239019095 30.539345252127518
779,4001,20445,3.850993950174065 30.522114384458238
780,4082,15446,3.9496839767716683 30.54863075229787
781,5415,1037,3.9951597426668974 30.45246488281442
782,586,226,3.953087711325801 30.697512466704048
783,6712,1413,3.99831530427564 30.59139905156366
784,97,7553,3.988035395308074 30.52669011400432
785,5434,957,3.951785607385134 30.546594284431897
786,4901,1349,4.032643317232485 30.536817327578948
787,357,887,3.960275739906268 30.532741988379836
788,6212,858,3.97029468045205 30.49344539829907
789,4511,2231,4.004466168252792 30.5449272813829
790,4282,8515,3.87158368163088 30.566276944486802
791,4236,7477,3.959199227146055 30.558715666456692
792,5117,217,4.005272627775861 30.538622586651197
793,4701,1039,3.972864944189907 30.546782612310764
794,153,8430,3.937132689137387 30.566437828377975
795,156,13239,4.044997663305003 30.558583912714806
796,2513,8261,5.072394912403404 30.383515778127492
797,6702,891,4.184462692699577 32.389210488617806
798,4791,1126,3.9751185845550907 30.545501327012516
799,4476,3512,3.931528985699227 30.556743598296492
800,2543,4855,3.976277456410382 30.561653931524706
801,2265,4828,3.9386932190225616 30.556360587718288
802,4125,2238,3.80902621442736 30.674042672474243
803,1145,876,3.96828898766988 30.544853049170396
804,2407,6041,4.004442604414836 30.532733460565407
805,5816,2092,3.968042097317545 30.52463308267742
806,985,574,3.979201397693771 30.543090339270766
807,616,11646,3.9629600309426727 30.585002312659324
808,1069,4355,4.086937793034587 30.606058995698984
809,176,5388,3.987705623401331 30.569797330050765
810,4721,2785,3.9748811925316367 30.632392672882066
811,4431,2908,3.9055831886031416 30.62360539810698
812,5757,6797,3.9975790764952395 30.553552870056585
813,5430,445,3.9978209395191855 30.519075797404856
814,13,3297,3.960957702091695 30.5552015877897
815,6211,703,3.9667961596291916 30.533138876216036
816,354,2900,3.9727904463642822 30.537951208172736
817,4305,2418,4.005479188892055 30.53657125807584
818,4806,1697,3.9694194837919707 30.534520885306172
819,2233,2407,3.9788116950627903 30.552161925598668
820,4080,6846,3.9607072638623584 30.55527868195381
821,2553,1659,3.9854187030383224 30.546296960858818
822,1097,3110,4.186593202177038 29.827978038329917
823,58,-32768,3.9814202224686657 30.54493105709338
824,4008,5979,3.963085830748446 30.55397622905295
825,6055,80,4.045218665551985 30.495257456534205
826,5249,2079,3.9693879221529014 30.522995177240453
827,4871,1667,3.9805151709050985 30.541851555801333
828,5540,1631,3.9571044899179366 30.551337593336296
829,9758,-32768,3.969330838696234 30.528419763922123
830,4911,3598,3.971256230348951 30.542951432301056
831,2457,1457,3.9852747800224604 30.5357474930159
832,4228,2681,3.9938241204430764 30.534023270991902
833,6741,312,3.9660680759857905 30.54016268586551
834,960,1168,4.068762539297537 31.30904533770307
835,6422,218,3.9711187980966125 30.590310809877412
836,6197,354,3.977793976034219 30.546739084412042
837,3204,-32768,3.9755390290895742 30.543343863338965
838,1373,3295,3.9975481582711434 30.52985951832974
839,756,-32768,3.9631375833838463 30.545979824018723
840,6781,711,3.9786904969529395 30.54304952045013
841,4590,841,3.982544177331948 30.553805980647105
842,5554,934,3.991223251341068 30.53429100465162
843,4471,5816,3.974175338041835 30.54646007788239
844,418,-32768,3.9721975298308436 30.540385098201547
845,242,6194,5.829521818001949 30.345569489974693
846,4696,4336,3.967502659005163 30.685119616732397
847,1345,3418,3.957803698505352 30.51115459011171
848,951,1167,3.9718793089609976 30.54673317340965
849,632,4107,3.986616697017741 30.532329556170808
850,3947,3320,3.986618557412474 30.537800838962248
851,2423,93,3.971569445569134 30.541164711869495
852,112,6974,3.9730774931443587 30.537897009443864
853,6113,1448,3.96419325453451 30.53713617792482
854,6431,1062,3.9290616346950813 30.23486994950096
855,3402,10323,4.072606381491133 31.522554327947116
856,4063,7755,3.980917602101368 30.552841908782028
857,2226,1441,3.9872876555522305 30.524653130594423
858,5396,2609,3.9664922687208293 30.546809314893316
859,4671,21290,3.966352860243378 30.539079654190846
860,2581,17350,4.0362635721227065 30.533899290467502
861,2427,1282,3.93437538582451 30.509658797641816
862,2787,5491,3.9328904977457992 30.560628684822287
863,953,1386,3.970098000226157 30.537715380274744
864,3234,6188,3.9792986144115052 30.558621580905882
865,4201,8909,3.9622992366492418 30.54994330220252
866,4601,932,3.9631581454070295 30.535587979817965
867,2272,1763,3.9816155716669472 30.54706971381411
868,90,9044,3.977557564421833 30.544014375789537
869,4224,1098,4.518699552025003 30.83672228300525
870,4263,2264,3.97195994441307 30.57118983207519
871,3514,253,3.9569272968040563 30.518620698651333
872,4121,2008,3.9331077618658075 30.554474947622143
873,2611,821,3.923482515068752 30.53482238521381
874,1509,8207,3.975623857657818 30.54310779689282
875,6626,1256,3.909457218327724 30.523421047836944
876,540,5502,3.9583220653877778 30.543696319870282
877,2885,534,3.9797440174905514 30.544097763353328
878,6708,2742,3.9708201069346463 30.544443571920294
879,2097,1470,3.967472857138684 30.555292909968422
880,3804,90,3.960885561773485 30.51104338206448
881,767,989,3.9922675599614434 30.557477679037248
882,3954,2306,3.9696280452387525 30.54139802830866
883,5494,1103,3.9662259236403123 30.54896570470371
884,4181,1216,3.880293385833355 30.53117749908499
885,1369,90,3.9660138624160197 30.539209241245167
886,305,1338,3.2196626759765916 30.34921934128725
887,3405,3762,3.972205247457504 30.55299853559413
888,6753,504,3.961934369889485 30.52130162044858
889,4289,11210,3.972658509676579 30.526624904611776
890,5431,288,3.9616849662371942 30.54744647515232
891,4253,3883,3.9668486482338037 30.552280023453232
892,3955,-32768,3.98180754655487 30.543166500247263
893,6057,918,3.9541297543102605 30.54869447743399
894,2703,20774,4.0978014221464765 30.59270802441006
895,5749,4059,3.9023422359890323 30.61614180609852
896,4756,803,3.9693162599658014 30.532090645832834
897,6402,3863,3.967834693927884 30.527856186611764
898,2858,782,3.8762190398828458 30.575672527226953
899,140,1884,3.9701110959313697 30.565494920386136
900,4501,3532,3.9653568471231933 30.546458906312257
901,5755,391,3.8037611546133467 30.527906308203388
902,4681,1269,3.9754068828884574 30.541496989434517
903,2823,4396,3.959279568474675 30.541217688659096
904,3764,908,3.9751054823990817 30.55778990175607
905,2096,5108,3.930339658589197 30.538346947542113
906,6743,1490,3.988022219281391 30.539234818706664
907,4012,9787,3.9893152836198396 30.537780829480955
908,585,976,3.9652972413766867 30.556839314167036
909,67,4243,3.996020044759809 30.543896802998635
910,6771,1755,3.981959054256659 30.54798851702187
911,5541,961,3.9974562051781013 30.54601650790193
912,495,844,3.983921119740633 30.54188664859412
913,2831,15601,3.9781302073715916 30.528073265551154
914,6644,13057,3.963756908235912 30.5476044062202
915,1363,790,3.972252618281112 30.556388658049933
916,3952,909,3.980956685540988 30.49742349906802
917,2,11552,3.970776908156754 30.55673553410353
918,6455,4467,3.9644756040564286 30.54563750544697
919,6782,1019,3.9674784863598727 30.5095064606741
920,620,747,4.004092389248242 30.553801964558055
921,9184,-32768,3.9595190173315102 30.530423333802567
922,2137,615,3.95163101221447 30.55332831673866
923,4646,3167,3.9733501479410425 30.56187870266852
924,5709,1243,3.955996138607096 30.450664368769576
925,6025,5644,3.9683375049936847 30.53881581881912
926,6293,1093,3.970931853148607 30.533197211114437
927,182,994,3.9661708203906967 30.478773069479132
928,2160,2277,4.002501145864025 30.584824646882577
929,9053,-32768,4.001923916046327 30.54821359650961
930,6117,428,3.96280134672426 30.448093327500295
931,5408,971,3.967311000619057 30.54778459952801
932,9759,-32768,3.9575119634857403 30.555201749737847
933,602,925,3.986875994726275 30.537778707694923
934,4045,20221,3.96218369212019 30.54280293547431
935,388,1232,3.940339767394401 30.558356570079926
936,2234,1863,4.015678840966817 30.55563373836458
937,1094,3476,3.9813023442906443 30.54107948552478
938,65,1092,3.986466757216423 30.536047179704276
939,33,2062,3.967507978178666 30.548536345558794
940,5882,2840,4.023812518152948 30.544699158429886
941,2621,1849,3.964605876198333 30.560996867262464
942,2050,1404,3.956800385637667 30.539392444116107
943,613,631,3.979304832574476 30.535409344518005
944,9216,-32768,5.960052156197671 45.787527821413065
945,307,2397,3.9703659592044582 30.54158310437202
946,333,1537,4.044039749299095 30.508371500304836
947,113,7403,3.9673532913071585 30.546181710327403
948,533,3147,3.967038008110261 30.548900984308382
949,3202,1165,3.9568653676298124 30.569358655356055
950,944,6008,4.026551720268742 30.536937045994392
951,5817,861,4.016622476900593 30.52297246422805
952,2155,1049,3.998700857845645 30.602190860676444
953,1201,9141,3.974484844549887 30.53835086247388
954,24,927,3.945969616899108 30.551784027256087
955,2115,883,3.9612803924885256 30.55112602428222
956,1033,2429,3.9548862077437446 30.556686026249015
957,5199,-32768,5.924657013221852 45.82015156663632
958,9177,-32768,4.060710027520272 30.398125331857646
959,4165,3547,3.9822931032334394 30.543036576160475
960,2791,1840,3.9588760726991965 30.572591753174475
961,4287,1877,3.9652975991091775 30.535184026131443
962,28,1363,3.9675057490516283 30.53973303083182
963,4163,5177,3.9832418600521264 30.54498628679949
964,5613,5189,3.977536706148399 30.544668710763297
965,1502,5398,3.9894829240891547 30.53692378088959
966,4545,3621,4.004405192035123 30.537515542575385
967,118,12010,3.923803149330189 30.55549378698802
968,3025,1699,3.9835981651137473 30.541139415882085
969,574,478,3.9529465099226964 30.43101581484242
970,5010,1404,3.970265003182426 30.52563210209353
971,2122,1749,3.962472931725732 30.542390218117674
972,2124,2514,3.9713982554720357 30.53650424831847
973,6630,21993,4.003617826063293 30.555964257404884
974,64,5385,3.9557625125310443 30.553278340656767
975,936,257,3.8986482238370277 30.541265801482954
976,3214,3596,3.9797496410262405 30.54336694505155
977,3503,75,3.973828473038712 30.557860510707673
978,321,4312,3.9768499034436817 30.54788368254531
979,3237,6427,3.960253347618588 30.559455503375425
980,4005,3932,3.96202917437143 30.551444938065003
981,5008,837,4.00290145350259 30.52324629987206
982,4941,2752,3.971997678242569 30.554581987930774
983,2335,1042,3.967996541186782 30.548756873588186
984,2821,1615,3.9773004659986957 30.54177932827141
985,2011,1640,3.968386575667777 30.54079583167022
986,4117,797,3.963055051805323 30.551538857924704
987,979,6956,4.038729374444708 30.576489873168075
988,5113,15803,3.9638456892476017 30.546343994196462
989,2321,3189,3.9835478913311757 30.538480589516485
990,1054,12781,4.031184907398938 30.588970052032423
991,5760,434,3.9538284817427125 30.55397565352476
992,5013,2796,3.95615448928889 30.553298608479455
993,5587,6954,3.975953481782677 30.527336733756226
994,4135,2040,3.9531548839856954 30.546050237916425
995,1089,2126,3.970465988008019 30.562211089151024
996,2846,5871,3.96152288846003 30.545863369481975
997,6715,522,3.9648782371752684 30.543301431422073
998,5520,909,-2.990003789134418 32.4167764496587
999,6109,122,3.9595179533011344 30.473270154657833
1000,2884,1633,3.986099691981333 30.53674580435828
1001,342,3199,3.958755117074604 30.43348756037098
1002,4209,4869,3.9743644947592487 30.534720371189156
1003,4571,3743,3.9713897428730904 30.5477327623722
1004,4208,3776,3.967128039335061 30.552431706052204
1005,5109,41,3.9673697158828705 30.537383266278216
1006,4182,990,3.9497616620359968 30.548984787677302
1007,5424,299,3.9696791872397834 30.551362514391744
1008,1031,9401,3.9725652149145563 30.520907815939488
1009,102,1158,3.9692225473066642 30.551589118030435
1010,2129,-32768,3.949295257810874 30.539706291478147
1011,40,1011,3.96726478754732 30.533136108279578
1012,4656,1555,3.9450560840983138 30.522874173769804
1013,5113,15803,3.983862408469216 30.549472944096113
1014,2337,1171,3.9554109810950977 30.535544545020326
1015,6453,278,3.9685246931722227 30.5437514452195
1016,5655,1328,3.8044082928581 30.61912868521208
1017,132,2134,-8.294070529156679 31.025724854423963
1018,5429,439,3.9503976309481312 30.729476660250455
1019,5115,6534,3.9443255088731672 30.532267540167606
1020,1505,4549,3.947476424176764 30.554551608968097
1021,36,1153,3.978717013066862 30.551717793316595
1022,172,6317,3.9748027617841144 30.553829829019193
1023,243,26277,4.094011732578401 30.540574330948242
1024,1037,2533,3.9655255555962245 30.65591880458611
1025,2953,834,3.9828758556826718 30.551840642390147
1026,691,550,3.958221719130152 30.557292825962
1027,1365,1077,3.962019346299216 30.544271159745094
1028,3111,-32768,3.979724788659434 30.537707317906673
1029,3296,6075,3.9723976152735223 30.538610652916077
1030,4141,8153,3.9695824399352513 30.543345338529175
1031,6416,8998,3.970188826454691 30.534345482469643
1032,4047,4452,3.8534938768799205 30.55231069030004
1033,5754,307,3.923546792151909 30.561358262673092
1034,101,3393,4.112080282869978 30.492245336109562
1035,4140,2603,3.958012864264885 30.55303212423398
1036,3005,1387,3.9737565036866784 30.55610703905304
1037,5422,3065,3.9299972771101133 30.560786741163838
1038,2782,1611,4.031658562463191 30.536368451427123
1039,5746,921,3.97681712282184 30.584181624172604
1040,3256,2223,3.9605642193166863 30.549488348446673
1041,2196,38288,3.968293678358985 30.54962454686183
1042,2406,2124,3.917586908766074 30.54140725469874
1043,663,1206,5.964209132654396 45.82121500143389
1044,3640,924,3.967548143104333 30.612838046396462
1045,181,1921,3.9510486897738577 30.49769513308525
1046,326,735,3.978550272151481 30.53818908362527
1047,3810,110,3.96354082752505 30.54109879578486
1048,344,909,3.9642348919433337 30.552670554031813
1049,6806,547,4.032792873513063 30.401153384024447
1050,52,11404,3.965484398069604 30.548549360772515
1051,2893,1596,3.94765029704305 30.583519493346948
1052,4506,3663,3.9652629545954814 30.54207373050696
1053,5007,765,3.988428803676967 30.541905377784182
1054,935,474,3.9839999642566752 30.529197844058054
1055,2296,1377,3.973313392767897 30.56097596284225
1056,2243,515,3.5660028210721952 30.320764094874306
1057,2259,647,3.97105846905521 30.533190908639227
1058,9276,-32768,3.969724686129586 30.56307346228802
1059,4723,760,3.9674801441240737 30.54776339510343
1060,81,598,3.9628185283208515 30.55676897693157
1061,5744,1042,3.9830705232836445 31.2076243463198
1062,55,4966,3.9724551604147975 30.541827252889384
1063,412,5807,3.9701703026329493 30.532411465494672
1064,152,6242,3.958625766777412 30.54111250792235
1065,2015,6134,3.963293175012145 30.544710647143752
1066,3833,137,3.9850411977239686 30.623292296655023
1067,4864,3664,3.9784457494706933 30.54708929319418
1068,5905,600,3.975411385377336 30.538444882195826
1069,6140,-32768,3.9699010109048514 30.540140854222557
1070,6459,3246,4.03308110496997 30.460902787033927
1071,1068,1271,3.9688566421716445 30.559482950105888
1072,6774,1232,3.97686737822124 30.60639858799079
1073,6792,390,3.979669242356947 30.535239248975692
1074,38,1315,3.983011929227672 30.580715352411282
1075,3791,-32768,3.970222431754315 30.54579689966445
1076,5913,731,4.053877017408935 30.52596637294517
1077,226,754,3.9786848659366343 30.54044902819849
1078,136,7426,3.9748773025572777 30.542752454841548
1079,704,211,3.9642583022038544 30.52364307835049
1080,4048,6068,3.979303308183126 30.532065382668307
1081,3426,4783,3.9642075767262988 30.498926056901134
1082,1095,4062,3.975778322262472 30.543708025781605
1083,5539,930,3.957420767950161 30.548573374909452
1084,2087,1015,3.9743746050591917 30.59846593112534
1085,1065,4736,3.880723123256906 30.571278755918662
1086,1102,4171,4.026143193676061 30.538502754669533
1087,3201,-32768,3.980801616701899 30.552228798685036
1088,580,535,3.9710737012210853 30.539202306231445
1089,2175,3182,3.941935625237776 30.56243936408831
1090,4276,4303,3.9521788604224874 30.537937804842407
1091,9154,-32768,3.954506106749146 30.540774521740598
1092,71,1357,3.958724266841639 30.580112762911696
1093,2844,971,3.979088432476564 30.543749510198086
1094,4284,1065,3.9903781563057215 30.544243472460348
1095,158,13955,3.95501239749094 30.546341719355674
1096,4683,1568,3.973970526211233 30.536964927046277
1097,2503,3341,3.968252580849071 30.549168486141365
1098,2861,6469,3.946472801162073 30.56256364050891
1099,546,9871,3.9337215988834666 30.59357423573116
1100,4146,2920,3.966454857787464 30.549898281881216
1101,4164,993,3.9726954595760327 30.551277736540495
1102,222,482,3.970028043310494 30.529514335637256
1103,2762,20411,3.966184706165297 30.553838535129394
1104,116,3373,3.974317700412771 30.54078880808663
1105,4222,1402,3.9720150158283136 30.537874628788774
1106,1023,2649,3.975552609752191 30.54680769457024
1107,590,2624,3.98519253081297 30.542231641438352
1108,4040,11040,3.9545702648797523 30.560313077831935
1109,2555,1489,3.9839004413876244 30.539715140569324
1110,3212,2246,4.0261172266086405 30.559542297887784
1111,2153,1066,3.9578884541371817 30.54864893277231
1112,4436,10659,4.219071502372577 30.61631996057326
1113,5606,9651,4.135348559034724 30.592401101146606
1114,4831,2900,3.982573459262018 30.5834039464173
1115,5831,-32768,4.023216427163172 30.535488356270157
1116,983,1684,3.9561281222062896 30.55312622967648
1117,2403,1755,3.9769535599633032 30.534919586644637
1118,4143,1181,3.9742686786047465 30.52332146502595
1119,9174,-32768,3.9727668939750003 30.54475854052312
1120,5119,51,3.968776084330456 30.553312224167975
1121,2492,524,3.959248186664272 30.550993120440822
1122,2477,923,3.980887535891575 30.54788463113279
1123,6452,1928,3.969900341907096 30.56025440620186
1124,4223,1907,3.976026046916522 30.539410476505676
1125,4741,1198,3.96489291494133 30.55407180999673
1126,701,434,3.9533600959509463 30.533820431682287
1127,9751,-32768,3.9999953726659214 30.564236368673583
1128,6620,1532,3.9933235908667086 30.603884593550116
1129,5423,507,3.966245724731239 30.526627510951062
1130,1349,4801,3.9721782571788236 30.54328192496082
1131,6203,690,3.9886452605123632 30.491050982360054
1132,5144,1010,3.976483630610119 30.55251029750235
1133,6720,393,3.9581688240712016 30.544812262594448
1134,3836,166,3.972670359993983 30.544016432857404
1135,2306,3253,3.9669487683583817 30.5349258651348
1136,5721,12597,4.01241155085583 30.505477385661685
1137,3251,11273,3.962166823398916 30.510572367928944
1138,3783,232,3.9789495429921793 30.586050780259274
1139,392,3971,4.005511429419797 30.549038066719795
1140,4264,859,3.886472257832065 30.53023884649157
1141,5003,2654,3.897995328130664 30.479590212743982
1142,57,2310,3.9474702641469674 30.55595305884275
1143,2895,1194,3.980318514453638 30.549165618357915
1144,6119,1111,3.9976419105340253 30.69678694548498
1145,2475,1286,3.9804064406957385 30.549219418918593
1146,709,68,3.95206904811435 30.54608270419793
1147,5019,3106,3.927660294769156 30.605855405004593
1148,1126,401,3.9922995687832232 30.544329959639995
1149,92,6639,3.974061017560639 30.542174474164415
