,BFS_NUMMER,EINWOHNERZ,centroid
66,5061,1570,3.988718933744851 30.505894710940723
67,3542,1322,3.9552517290679945 30.387826121182233
68,3681,167,3.989025201164066 30.580762462050153
69,1511,2107,3.9940421845761955 30.51473934447986
70,3360,3644,3.7799750012631743 30.48881816969971
71,1404,6000,3.475890809901671 30.716224918140664
72,3982,2058,6.279726138671929 44.57536134256478
73,6009,327,3.91446468996503 30.45820471249668
74,6192,284,3.950816622479316 30.549136672433136
75,6032,186,3.984160020208979 30.542940349686916
76,6292,2291,2.7695146714994987 30.72845472980932
77,261,391359,3.486279337856525 30.729411759129423
78,561,3458,3.9918491967565326 30.68344143411816
79,3359,2657,3.9577945912626777 30.550987975989116
80,6011,89,4.326649030823238 33.19382537614562
81,6024,6221,4.01278681084456 30.53523264235333
82,1403,3558,4.2553026612804326 30.549207840828267
83,6023,8315,4.821223133960048 30.24653761591822
84,3891,1565,4.1052098922744085 30.629342954704544
85,1209,573,4.01858564736422 30.556980635230538
86,9155,-32768,4.049285559884329 30.561706686918523
87,1219,704,3.9795162785599882 30.5479859336184
88,1212,143,4.004886539171668 30.511503731166634
89,791,1301,3.84077722290122 30.52282606139157
90,5079,1077,3.9894521569305317 30.554604313049634
91,5063,103,3.9780021247007404 30.685880013472804
92,3292,4848,3.994002741145863 30.554310679555254
93,3713,88,3.9439431621753402 30.57507969519968
94,1402,4053,3.9820978907153446 30.588679461605103
95,1407,10232,4.015617337230239 30.539009743807814
96,794,3015,4.114644971004645 31.610883472153912
97,563,6793,3.967060186902458 30.518604973923132
98,5192,63668,3.8290096857045963 30.375978697140432
99,6729,6892,4.358210407579789 30.513377629060354
100,6265,7249,3.9944745303702023 30.52418781513665
101,3988,1139,3.981083441799077 30.555505109273863
102,230,106778,3.9019636487295313 30.565641343305956
103,6111,1492,3.9573489570073836 30.534129654325945
104,6054,145,3.4228735684280855 30.17105216099603
105,5410,1072,3.9513729006775553 30.557429508493723
106,3789,768,4.005347373053113 30.478215330832207
107,3786,3014,3.9783892515039754 30.548374357631833
108,3785,752,3.984688429756944 30.52108624605829
109,841,971,4.157860103754342 32.607592169935195
110,1202,1408,3.6665210891226785 27.811437710109576
111,908,1346,3.9345516260053732 30.715170406361338
112,5411,1463,3.972290930449696 30.54869973317772
113,6808,1300,4.028603110426631 30.536452627941664
114,5048,1851,3.977478737247932 30.59205053003052
115,3962,2639,4.0036305283620965 30.54580869448221
116,1211,514,3.99004250417704 30.54416936472968
117,793,1342,3.9848348497999404 30.63089938569644
118,3694,384,3.989121449039616 30.507586667118325
119,901,2421,3.9360274254286463 30.565988838144477
120,2121,1488,4.121081540094521 30.526490025036257
121,5409,7366,4.051170511334433 30.561038466164785
